CompanyName,Category,Country,Description,Website,LogoURL
.lumen,startup,,".lumen builds pedestrian autonomous driving AI (PAD AI), first showcased in the Glasses for the Blind.",https://www.dotlumen.com,
10kM.ai,startup,,"Our engine instantly absorbs your brand DNA to generate stunning, on-brand corporate videos—fast. Start with anything: text, websites, images. Then dive into our mobile-first editor to polish it to perfection. Backed by 16 PoCs and CES Innovation Award. ",www.10km.ai,
1km à pied,startup,France,"We help cities analyze their home-to-work traffic flows by conducting mobility audits of the largest employers and measuring the impacts of alternatives. We are already the tool used by Strasbourg, Rennes, Tours, La Rochelle...",https://www.1kmapied.com,
1km à Pied,startup,,"We help multi-site organizations reduce their field employees' commute distances by enabling job swaps and internal mobility to closer sites. Our clients (La Poste, SNCF, Lidl, Auchan, Korian...) cut CO2 emissions, employee fatigue, and absenteeism. ",https://www.1kmapied.com/,
26lights,startup,,"26lights supports growing start-ups, scale-ups and SMEs  achieve sustainable and scalable growth with tailored plans working on Business, Tech, and Growth Marketing. We have worked with about 150 companies for the last 13 years.",www.26lights.com,
2Be-FFICIENT,startup,,"2Be-FFICIENT helps top enterprises deliver seamless digital experiences. Our AI-powered monitoring detects real-time issues across web, mobile, APIs, SVI, chatbots, voicebots and thick clients, by simulating actual user actions 24/7 on real devices.",https://www.2befficient.fr,
2NZENA STUDIO,startup,,"2nzena is an audiovisual company based in Mayotte, specializing in recording, live broadcasting, and the production of cultural, sports, and event content.

Since 2024, 2nzena has launched Yatru, a 100% digital media outlet dedicated to sports.",https://2nzenastudio.fr,
2Tonnes,startup,,"What if the ecological transition was the key to tackling 21st century challenges?   To face today's crises without exceeding planetary limits, let's rethink how we act! 2tonnes creates immersive workshops to understand, act, and build collective power.",https://www.2tonnes.org,
365Talents,startup,,"365Talents, the leading AI-powered solution, transforms HR by seamlessly mapping skills for industry giants like EY, SLB, Veolia, SocGen (and others!), ensuring they future-proof their talent strategy and embrace a Skills-based Organization approach.",https://365talents.com,
369sonic s.r.o.,startup,,"We specialize in the production and sale of ultrasonic cutting tools such as wireless electric ultrasonic kitchen knives and cutters. The built-in transducer moves the blade of the knife 40,000 times per second, which amplifies the cutting properties.",https://eshop.369sonic.com,
3D Biotechnology Solutions - 3DBS,startup,,"3DBS is a Brazilian startup that develops in vitro tissue models and biofabrication equipment. Supported by FAPESP, FINEP, and São Leopoldo Mandic, it enables animal-free testing and innovation in personalized medicine and regenerative research.",http://www.3dbiotechnologiessolutions.com/en/home-english/,
3D MINERALS,startup,,3D Minerals conçoit et développe des IMPRIMANTES 3D CÉRAMIQUES avec une technologie d'extrusion innovante et brevetée : Slurry Deposition Modeling. Cette innovation permet d'imprimer en 3D des pièces de grandes dimensions en continu.,https://www.3d-minerals.com/,
3DVarius,startup,,"3Dvarius designs and manufactures high-end electric violins using 3D printing technology. Made in France, 3Dvarius blends precision, innovation, and artistry to offer unique instruments for modern violinists seeking new soundscapes.",https://www.3d-varius.com/,
